# Date: 19-08-2021 15-27-52
# T1 Inversion Recovery Measurement
# Field: 3400.0 G
# 2 dB
# 9750
# Repetition Rate: 1000 Hz
# Number of Scans: 2
# Averages: 10
# Window: 80 ns
# Temperature: 298 K
# Pulse List: 
# testTime (trig. delta_start), X (V*s), Y (V*s)
1.5240e+03,5.7864e-01,2.9416e-01
1.5280e+03,5.1706e-01,3.2714e-01
1.5320e+03,3.2816e-01,4.3606e-01
1.5360e+03,5.5108e-01,2.4574e-01
1.5400e+03,1.3120e-01,4.4683e-01
1.5440e+03,6.0052e-01,4.8430e-01
1.5480e+03,4.9511e-01,4.9017e-01
1.5520e+03,2.2712e-01,2.0906e-01
1.5560e+03,5.5429e-01,3.7002e-01
1.5600e+03,6.1823e-01,1.3972e-01
1.5640e+03,4.6378e-01,2.9415e-01
1.5680e+03,5.4811e-01,1.7417e-01
1.5720e+03,3.3226e-01,5.9327e-01
1.5760e+03,5.9147e-01,5.8535e-01
1.5800e+03,8.6728e-01,7.1469e-01
1.5840e+03,7.5862e-01,7.7018e-01
1.5880e+03,7.6104e-01,6.0779e-01
1.5920e+03,3.5071e-01,4.3907e-01
1.5960e+03,7.7192e-01,4.1184e-01
1.6000e+03,4.2589e-01,5.5711e-01
1.6040e+03,7.0793e-01,5.9533e-01
1.6080e+03,3.7422e-01,5.6298e-01
1.6120e+03,4.2329e-01,4.1130e-01
1.6160e+03,3.8282e-01,4.3702e-01
1.6200e+03,2.9219e-01,6.3473e-01
1.6240e+03,3.6889e-01,2.3003e-01
1.6280e+03,3.3660e-01,3.6211e-01
1.6320e+03,7.5654e-01,6.2815e-01
1.6360e+03,5.5643e-01,4.3513e-01
1.6400e+03,3.1620e-01,1.8640e-01
1.6440e+03,5.8362e-01,5.9217e-01
1.6480e+03,8.3965e-01,7.8859e-01
1.6520e+03,1.0629e-01,5.1417e-01
1.6560e+03,3.7119e-01,5.2436e-01
1.6600e+03,6.1480e-01,1.8499e-01
1.6640e+03,8.0532e-01,5.4564e-01
1.6680e+03,7.4747e-01,6.2710e-01
1.6720e+03,6.2590e-01,3.3779e-01
1.6760e+03,8.4936e-01,8.3361e-01
1.6800e+03,4.7353e-01,6.6448e-01
1.6840e+03,5.5776e-01,5.8253e-01
1.6880e+03,6.9914e-01,5.7973e-01
1.6920e+03,4.8503e-01,7.4385e-01
1.6960e+03,8.5247e-01,4.2948e-01
1.7000e+03,6.3287e-01,2.4576e-01
1.7040e+03,3.2876e-01,5.4309e-01
1.7080e+03,4.5473e-01,1.9472e-01
1.7120e+03,4.4936e-01,8.4357e-01
1.7160e+03,7.4203e-01,5.1459e-01
1.7200e+03,4.7440e-01,3.4033e-01
1.7240e+03,7.5279e-01,4.4894e-01
1.7280e+03,6.5673e-01,3.1767e-01
1.7320e+03,6.6770e-01,6.0916e-01
1.7360e+03,6.6019e-01,8.4701e-01
1.7400e+03,9.1828e-01,9.5377e-01
1.7440e+03,2.2540e-01,5.1889e-01
1.7480e+03,8.6330e-01,2.3501e-01
1.7520e+03,5.6866e-01,8.4644e-01
1.7560e+03,3.2454e-01,1.9918e-01
1.7600e+03,6.0586e-01,7.5068e-01
1.7640e+03,6.5004e-01,1.8241e-01
1.7680e+03,3.3688e-01,4.2288e-01
1.7720e+03,2.2617e-01,2.1570e-01
1.7760e+03,3.4577e-01,4.2143e-01
1.7800e+03,5.6872e-01,1.8740e-01
1.7840e+03,1.5950e-01,6.1221e-01
1.7880e+03,5.9670e-01,4.5777e-01
1.7920e+03,5.2027e-01,6.5967e-01
1.7960e+03,1.5196e-01,5.4903e-01
1.8000e+03,7.8548e-01,7.9899e-01
1.8040e+03,3.4411e-01,6.4828e-01
1.8080e+03,3.4502e-01,5.9761e-01
1.8120e+03,3.8026e-01,5.6220e-01
1.8160e+03,6.2468e-01,5.8884e-01
1.8200e+03,5.5575e-01,1.6376e-01
1.8240e+03,2.9087e-01,5.1502e-01
1.8280e+03,5.6319e-01,6.0816e-01
1.8320e+03,5.3590e-01,7.9054e-01
1.8360e+03,7.7744e-01,4.6785e-01
1.8400e+03,3.0172e-01,6.2349e-01
1.8440e+03,2.4002e-01,3.5292e-01
1.8480e+03,7.1228e-01,1.7673e-01
1.8520e+03,4.7060e-01,3.7641e-01
1.8560e+03,3.5787e-01,5.7497e-01
1.8600e+03,2.3277e-01,2.3321e-01
1.8640e+03,3.5238e-01,7.4617e-01
1.8680e+03,5.2375e-01,9.1165e-01
1.8720e+03,7.2598e-01,6.5723e-01
1.8760e+03,7.7502e-01,5.6884e-01
1.8800e+03,7.7611e-01,4.8975e-01
1.8840e+03,7.3439e-01,1.3397e-01
1.8880e+03,6.2574e-01,5.3356e-01
1.8920e+03,6.4669e-01,3.3319e-01
1.8960e+03,5.8845e-01,5.4967e-01
1.9000e+03,5.4351e-01,5.4325e-01
1.9040e+03,7.1852e-01,7.3408e-01
1.9080e+03,1.2655e-01,5.3113e-01
1.9120e+03,2.0558e-01,6.6739e-01
1.9160e+03,4.6564e-01,5.1900e-01
1.9200e+03,7.6673e-01,5.6971e-01
1.9240e+03,7.0969e-01,2.7085e-01
1.9280e+03,3.2665e-01,4.5203e-01
1.9320e+03,5.7535e-01,2.9186e-01
1.9360e+03,6.0440e-01,1.5544e-01
1.9400e+03,9.3610e-01,2.0162e-01
1.9440e+03,1.6230e-01,7.3429e-01
1.9480e+03,6.3995e-01,3.2981e-01
1.9520e+03,3.5579e-01,7.7072e-01
1.9560e+03,1.9847e-01,5.3489e-01
1.9600e+03,5.6743e-01,3.7817e-01
1.9640e+03,4.8267e-01,4.3648e-01
1.9680e+03,3.2055e-01,4.6206e-01
1.9720e+03,6.6358e-01,5.4801e-01
1.9760e+03,7.6561e-01,7.0157e-01
1.9800e+03,3.7994e-01,3.3718e-01
1.9840e+03,7.0823e-01,5.2197e-01
1.9880e+03,3.4643e-01,8.5357e-01
1.9920e+03,5.1651e-01,3.0230e-01
1.9960e+03,4.5714e-01,5.5511e-01
2.0000e+03,2.8089e-01,4.5420e-01
